Nome do Produto,Sistema,Documento,Transação,Meio de Pagamento,Moeda,Preço do Produto,Número da Parcela,Data de Venda,Status,Cliente,País,Tipo de Pagamento
SSD,Online,46232,Troca,Transferência Bancária,BRL,600,1,29/06/2024,Completa,Cliente 1,Brasil,À Vista
Mouse,Online,35509,Venda,Transferência Bancária,BRL,50,1,29/06/2024,Completa,Cliente 2,Brasil,Parcelado
Processador,Online,60000,Troca,Pix,BRL,1200,1,29/06/2024,Completa,Cliente 3,Brasil,À Vista
HD,Online,94288,Devolução,Boleto,BRL,300,1,29/06/2024,Pendente,Cliente 4,Brasil,À Vista
Mouse,Online,48382,Devolução,Boleto,BRL,50,1,29/06/2024,Pendente,Cliente 5,Brasil,Parcelado
Fone de Ouvido,Online,17326,Devolução,Pix,BRL,200,1,29/06/2024,Completa,Cliente 6,Brasil,À Vista
Monitor,Online,16210,Troca,Cartão de Crédito,BRL,1200,5,29/06/2024,Completa,Cliente 7,Brasil,Parcelado
Fonte,Online,15864,Troca,Boleto,BRL,200,1,29/06/2024,Completa,Cliente 8,Brasil,À Vista
SSD,Online,41033,Troca,Boleto,BRL,600,1,29/06/2024,Pendente,Cliente 9,Brasil,À Vista
Tablet,Online,83497,Troca,Cartão de Crédito,BRL,1200,12,29/06/2024,Pendente,Cliente 10,Brasil,Parcelado
Teclado,Online,98031,Devolução,Pix,BRL,150,1,29/06/2024,Completa,Cliente 11,Brasil,Parcelado
Teclado,Online,39423,Troca,Cartão de Crédito,BRL,150,11,29/06/2024,Completa,Cliente 12,Brasil,À Vista
Fone de Ouvido,Online,91167,Devolução,Cartão de Crédito,BRL,200,7,29/06/2024,Pendente,Cliente 13,Brasil,Parcelado
Laptop,Online,50328,Devolução,Pix,BRL,4000,1,29/06/2024,Pendente,Cliente 14,Brasil,À Vista
SSD,Online,97811,Troca,Pix,BRL,600,1,29/06/2024,Pendente,Cliente 15,Brasil,À Vista
Fonte,Online,37561,Troca,Cartão de Crédito,BRL,200,1,29/06/2024,Pendente,Cliente 16,Brasil,À Vista
Fonte,Online,59798,Venda,Boleto,BRL,200,1,29/06/2024,Completa,Cliente 17,Brasil,Parcelado
HD,Online,76457,Venda,Transferência Bancária,BRL,300,1,29/06/2024,Completa,Cliente 18,Brasil,À Vista
Fone de Ouvido,Online,66943,Devolução,Pix,BRL,200,1,29/06/2024,Pendente,Cliente 19,Brasil,Parcelado
