Nome do Produto,Sistema,Documento,Transação,Meio de Pagamento,Moeda,Preço do Produto,Número da Parcela,Data de Venda,Status,Cliente,País,Tipo de Pagamento
HD,Online,88960,Venda,Pix,BRL,300,1,28/06/2024,Pendente,Cliente 1,Brasil,À Vista
Processador,Online,30421,Troca,Transferência Bancária,BRL,1200,1,28/06/2024,Completa,Cliente 2,Brasil,À Vista
Fonte,Online,59880,Devolução,Pix,BRL,200,1,28/06/2024,Completa,Cliente 3,Brasil,À Vista
Monitor,Online,21220,Troca,Transferência Bancária,BRL,1200,1,28/06/2024,Completa,Cliente 4,Brasil,Parcelado
Monitor,Online,51112,Devolução,Boleto,BRL,1200,1,28/06/2024,Completa,Cliente 5,Brasil,Parcelado
Laptop,Online,77565,Venda,Boleto,BRL,4000,1,28/06/2024,Pendente,Cliente 6,Brasil,Parcelado
Teclado,Online,67238,Venda,Pix,BRL,150,1,28/06/2024,Completa,Cliente 7,Brasil,À Vista
Memória RAM,Online,43552,Venda,Boleto,BRL,400,1,28/06/2024,Pendente,Cliente 8,Brasil,Parcelado
Processador,Online,63116,Troca,Boleto,BRL,1200,1,28/06/2024,Pendente,Cliente 9,Brasil,Parcelado
Processador,Online,50252,Troca,Cartão de Crédito,BRL,1200,6,28/06/2024,Completa,Cliente 10,Brasil,À Vista
Teclado,Online,57758,Troca,Transferência Bancária,BRL,150,1,28/06/2024,Pendente,Cliente 11,Brasil,Parcelado
Smartphone,Online,12854,Devolução,Boleto,BRL,3000,1,28/06/2024,Pendente,Cliente 12,Brasil,Parcelado
Processador,Online,80102,Troca,Boleto,BRL,1200,1,28/06/2024,Pendente,Cliente 13,Brasil,À Vista
Fonte,Online,92868,Venda,Pix,BRL,200,1,28/06/2024,Pendente,Cliente 14,Brasil,À Vista
Teclado,Online,41182,Venda,Pix,BRL,150,1,28/06/2024,Completa,Cliente 15,Brasil,À Vista
Mouse,Online,80632,Venda,Cartão de Crédito,BRL,50,9,28/06/2024,Pendente,Cliente 16,Brasil,Parcelado
Placa Mãe,Online,10038,Troca,Transferência Bancária,BRL,800,1,28/06/2024,Completa,Cliente 17,Brasil,À Vista
HD,Online,11105,Devolução,Boleto,BRL,300,1,28/06/2024,Completa,Cliente 18,Brasil,Parcelado
